Site ID,Parent Site ID,Site Name,Short Name,Type,Latitude,Longitude,Start_Date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,geolocation
M168,M168,"Brookes St_OConnell Tce_Hamilton Pl, Bowen Hills","Brookes St_OConnell Tce_Hamilton Pl, Bowen Hills",Manual,-27.448667,153.034994,2025,,,,,,,,,,,,,,,,,,,,,,1.0,"-27.448667, 153.034994"
M174,M174,"Brunswick St_Gregory Tce, Fortitude Valley","Brunswick St_Gregory Tce, Fortitude Valley",Manual,-27.452614,153.02909,2025,,,,,,,,,,,,,,,,,,,,,,1.0,"-27.452614, 153.02909"
A002,A002,"Bishop Street, Kelvin Grove","Bishop St, Kelvin Grove",Automatic,-27.442665,153.007893,2015,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1.0,"-27.442665, 153.007893"
A006,A006,"Granville St Bridge, Herston","Granville St Br, Herston",Automatic,-27.44258,153.02095,2015,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1.0,"-27.44258, 153.02095"
A007,A007,"Jack Pesch Bridge, Indooroopilly","Jack Pesch Br, Indro",Automatic,-27.507082,152.973653,2015,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1.0,"-27.507082, 152.973653"
A011,A011,"Lambert Rd, Indooroopilly","Lambert Rd, Indro",Automatic,-27.503343,152.981076,2015,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1.0,"-27.503343, 152.981076"
A015,A015,"Stanley St, Woolloongabba","Stanley St, Woolloongabba",Automatic,-27.48605,153.032223,2015,,,,,,,,,,,,1,1,1,1,,,,,,,,"-27.48605, 153.032223"
A016E,A016,"Story Bridge East, Kangaroo Point","Story Br, Kangaroo Pt",Automatic,-27.470891,153.035863,2015,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1.0,"-27.470891, 153.035863"
A019,A019,"Bicentennial Bikeway, Milton","Bicentennial, Milton",Automatic,-27.469398,153.010162,2017,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1.0,"-27.469398, 153.010162"
A021,A021,"Lores Bonney Riverwalk, Hamilton",Lores Bonney Riverwalk,Automatic,-27.43971,153.06387,2019,,,,,,,,,,,,,,,,1,1,1,1,1,1,1.0,"-27.43971, 153.06387"
A022,A022,"Stanley Street, South Brisbane","Stanley St, Sth Brisbane",Automatic,-27.48368,153.02722,2019,,,,,,,,,,,,,,,,1,1,1,1,1,1,1.0,"-27.48368, 153.02722"
A103,A103,"Bridge St, Wooloowin","Bridge St, Wooloowin",Automatic,-27.422854,153.042322,2022,,,,,,,,,,,,,,,,,1,,,,1,1.0,"-27.422854, 153.042322"
A202,A202,"City Link Cycleway (Elizabeth St - Edward to Albert), City",City Link Elizabeth St (Edward - Albert),Automatic,-27.46969204,153.0270731,2021,,,,,,,,,,,,,,,,,,1,1,1,1,1.0,"-27.46969204, 153.0270731"
A203,A203,"City Link Cycleway (Victoria Bridge), City",City Link (Victoria Br),Automatic,-27.47318078,153.0198097,2021,,,,,,,,,,,,,,,,,,1,1,1,1,1.0,"-27.47318078, 153.0198097"
T0029,T0029,Sandgate Road Northbound (Northgate),"Sandgate Rd Nthbnd, Nthgate",Automatic,-27.39394,153.059144,,,,,,,,,,,,,,,,,,,,,,,,"-27.39394, 153.059144"
T0030,T0030,Sandgate Road Southbound (Northgate),"Sandgate Rd Sthbnd, Nthgate",Automatic,-27.393883,153.059371,,,,,,,,,,,,,,,,,,,,,,,,"-27.393883, 153.059371"
T0035,T0035,Princess Alexandra Hospital Bikeway (Woollongabba),"PA Hospital Bikeway, Woollongabba",Automatic,-27.496921,153.036196,,,,,,,,,,,,,,,,,,,,,,,,"-27.496921, 153.036196"
T0038,T0038,Veloway 1 (Greenslopes),"V1, Greenslopes",Automatic,-27.510168,153.039689,,,,,,,,,,,,,,,,,,,,,,,,"-27.510168, 153.039689"
T0040,T0040,Veloway 1 (Upper Mount Gravatt),"V1, Upper Mt Gravatt",Automatic,-27.562285,153.077452,,,,,,,,,,,,,,,,,,,,,,,,"-27.562285, 153.077452"
T0041,T0041,Centenary Cycleway (Sumner),"Centenary Cycleway, Sumner",Automatic,-27.565543,152.942261,,,,,,,,,,,,,,,,,,,,,,,,"-27.565543, 152.942261"
T0009,T0009,Gateway Motorway Shared Pathway (Murarrie),"Gateway Shared Path, Murarrie",Automatic,-27.451173,153.105017,,,,,,,,,,,,,,,,,,,,,,,,"-27.451173, 153.105017"
M001,M001,"Kangaroo Point Bikeway, Kangaroo Point","Kangaroo Pt Bikeway, Kangaroo Pt",Manual,-27.476039,153.034728,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"-27.476039, 153.034728"
